day_daily,total_daily_revenue,moving_average
2/1/2026,3603562.92,3603562.920000000000
2/2/2026,3571537.54,3587550.230000000000
2/3/2026,3923825.65,3699642.036666666667
2/4/2026,4062210.96,3790284.267500000000
2/5/2026,4277795.55,3887786.524000000000
2/6/2026,4031566.55,3911749.861666666667
2/7/2026,4354637.56,3975019.532857142857
2/8/2026,3913632.45,4019315.180000000000
2/9/2026,3532219.67,4013698.341428571429
2/10/2026,3592531.3,3966370.577142857143
2/11/2026,3932277.94,3947808.717142857143
2/12/2026,4474814.41,3975954.268571428571
2/13/2026,4450608.99,4035817.474285714286
2/14/2026,3976781.94,3981838.100000000000
2/15/2026,3373679.39,3904701.948571428571
2/16/2026,2677109.95,3782543.417142857143
2/17/2026,3272302.55,3736796.452857142857
2/18/2026,3601192.79,3689498.574285714286
2/19/2026,3661477.67,3573307.611428571429
2/20/2026,3713571.12,3468016.487142857143
2/21/2026,3869840.45,3452739.131428571429
2/22/2026,2468563.24,3323436.824285714286
2/23/2026,739924.02,3046695.977142857143
2/24/2026,3019495,3010580.612857142857
2/25/2026,3935270.54,3058306.005714285714
2/26/2026,4142793.28,3127065.378571428571
2/27/2026,4177975.69,3193408.888571428571
2/28/2026,4029491.83,3216216.228571428571
