"pickup_zone","average_fare"
"Upper East Side North","15.1870346025499650"
"LaGuardia Airport","43.4485673764427539"
"Murray Hill","17.8671700191625836"
"Penn Station/Madison Sq West","17.8338928017673825"
"Midtown South","18.6906580424034699"
"West Chelsea/Hudson Yards","19.9910708029083919"
"Upper West Side South","16.2050596060020252"
"West Village","18.4939982567884680"
"East Village","18.8260996057317280"
"Clinton East","17.9464193158844520"
"Times Sq/Theatre District","20.4873058241758242"
"Lincoln Square East","15.6959988574209452"
"Midtown East","17.3063812293696160"
"Lenox Hill East","17.9412351502698635"
"East Chelsea","19.8115432801154293"
"Union Sq","17.6063222342527376"
"Midtown North","17.3678521210901636"
"JFK Airport","57.8675571759760627"
"Midtown Center","18.4604727477027936"
"Upper East Side South","14.3031736972704715"
