"pickup_zone","dropoff_zone","routes"
"JFK Airport","Outside of NYC","6275"
"JFK Airport","JFK Airport","5720"
"JFK Airport","Times Sq/Theatre District","4408"
"LaGuardia Airport","Times Sq/Theatre District","3751"
"JFK Airport","Flushing Meadows-Corona Park","3111"
"LaGuardia Airport","Midtown Center","2595"
"JFK Airport","Midtown South","2438"
"LaGuardia Airport","Upper East Side North","2188"
"Times Sq/Theatre District","LaGuardia Airport","2166"
"LaGuardia Airport","Midtown South","2144"
