"pickup_zone","dropoff_zone","total_revenue"
"JFK Airport","Outside of NYC","696447.55"
"JFK Airport","Times Sq/Theatre District","398800.08"
"Upper East Side South","Upper East Side North","358303.30"
"Upper East Side North","Upper East Side South","323097.81"
"LaGuardia Airport","Times Sq/Theatre District","297158.39"
"JFK Airport","JFK Airport","254356.25"
"JFK Airport","Midtown South","230434.67"
"Upper East Side North","Upper East Side North","218653.39"
"Upper East Side South","Upper East Side South","216093.68"
"LaGuardia Airport","Midtown Center","199236.05"
