"zone","total_revenue","rank"
"JFK Airport","9327155.85","1"
"LaGuardia Airport","5215113.18","2"
"Midtown Center","3718407.41","3"
"Upper East Side South","3209123.84","4"
"Upper East Side North","3169143.89","5"
"Times Sq/Theatre District","2708574.10","6"
"Penn Station/Madison Sq West","2621055.74","7"
"Midtown East","2607438.86","8"
"East Village","2501769.91","9"
"East Chelsea","2433958.42","10"
"Union Sq","2322999.08","11"
"Murray Hill","2291740.32","12"
"Lincoln Square East","2236981.99","13"
"Midtown North","2081588.42","14"
"Upper West Side South","2074977.53","15"
"West Village","1983512.81","16"
"Clinton East","1925825.46","17"
"West Chelsea/Hudson Yards","1830831.04","18"
"Midtown South","1797715.79","19"
"Lenox Hill East","1772944.07","20"
"Lenox Hill West","1755481.76","21"
"Gramercy","1667874.13","22"
"Upper West Side North","1584838.64","23"
"Yorkville West","1571038.00","24"
"TriBeCa/Civic Center","1396043.90","25"
"Lower East Side","1361679.97","26"
"Flatiron","1337011.74","27"
"Greenwich Village South","1329914.35","28"
"Sutton Place/Turtle Bay North","1291671.55","29"
"Yorkville East","1246549.01","30"
"Greenwich Village North","1245779.41","31"
"Kips Bay","1149418.49","32"
"Garment District","1140827.42","33"
"Little Italy/NoLiTa","1061800.27","34"
"Lincoln Square West","1037479.13","35"
"UN/Turtle Bay South","932676.52","36"
"Meatpacking/West Village West","900413.77","37"
"Central Park","867740.90","38"
"SoHo","773177.94","39"
"Financial District North","766776.01","40"
"East Harlem South","766144.56","41"
"Battery Park City","703020.32","42"
"Morningside Heights","689809.57","43"
"Manhattan Valley","688536.66","44"
"Clinton West","625823.49","45"
"Central Harlem","499548.88","46"
"Hudson Sq","472552.59","47"
"World Trade Center","463958.70","48"
"Alphabet City","438351.04","49"
"East Harlem North","432229.20","50"
"Central Harlem North","407569.94","51"
"East Elmhurst","403232.16","52"
"Financial District South","399175.54","53"
"Two Bridges/Seward Park","353529.59","54"
"Washington Heights South","326663.87","55"
"Long Island City/Hunters Point","319861.05","56"
"Williamsburg (North Side)","307106.92","57"
"Astoria","296715.06","58"
"Bloomingdale","281637.78","59"
"Sunnyside","271313.50","60"
"Bushwick South","264082.61","61"
"Hamilton Heights","260747.11","62"
"Chinatown","256486.86","63"
"Stuy Town/Peter Cooper Village","255925.99","64"
"Crown Heights North","249404.97","65"
"Williamsburg (South Side)","241732.93","66"
"Seaport","223427.73","67"
"Greenpoint","214983.48","68"
"East Williamsburg","202238.35","69"
"Fort Greene","193805.19","70"
"East New York","184025.95","71"
"Brooklyn Heights","183671.59","72"
"Park Slope","178827.95","73"
"Stuyvesant Heights","178500.33","74"
"Jackson Heights","164568.51","75"
"Boerum Hill","163912.66","76"
"Downtown Brooklyn/MetroTech","158816.04","77"
"Manhattanville","158330.27","78"
"Bedford","156798.90","79"
"DUMBO/Vinegar Hill","156658.11","80"
"Prospect-Lefferts Gardens","155241.84","81"
"South Ozone Park","152719.05","82"
"Washington Heights North","151190.01","83"
"Flatbush/Ditmas Park","149528.61","84"
"Bushwick North","147795.22","85"
"Clinton Hill","147622.94","86"
"Jamaica","132631.35","87"
"Outside of NYC","127837.66","88"
"Long Island City/Queens Plaza","125894.36","89"
"Canarsie","121223.37","90"
"Old Astoria","121167.26","91"
"Steinway","117343.23","92"
"N/A","114970.64","93"
"Baisley Park","110990.37","94"
"Mott Haven/Port Morris","105005.38","95"
"Ocean Hill","102626.81","96"
"Richmond Hill","98869.37","97"
"Brownsville","94203.90","98"
"Forest Hills","92556.19","99"
"Elmhurst","92114.13","100"
"Woodside","90547.30","101"
"East Flatbush/Remsen Village","84536.90","102"
"Sunset Park West","84276.22","103"
"Flatlands","83015.00","104"
"Maspeth","81943.71","105"
"East Flatbush/Farragut","81098.96","106"
"Bay Ridge","80107.15","107"
"Prospect Heights","76125.11","108"
"Ridgewood","74880.72","109"
"Queensbridge/Ravenswood","72849.89","110"
"Crown Heights South","72701.88","111"
"Inwood","67940.19","112"
"South Jamaica","63223.37","113"
"Coney Island","62296.55","114"
"Co-Op City","61466.53","115"
"Erasmus","59663.88","116"
"Carroll Gardens","59617.54","117"
"Saint Albans","57558.31","118"
"Red Hook","57314.95","119"
"East Concourse/Concourse Village","56207.09","120"
"Soundview/Castle Hill","55179.92","121"
"Cypress Hills","54625.18","122"
"East New York/Pennsylvania Avenue","51862.62","123"
"Williamsbridge/Olinville","51785.14","124"
"Briarwood/Jamaica Hills","51673.85","125"
"West Concourse","51494.42","126"
"Far Rockaway","51238.19","127"
"Melrose South","51123.52","128"
"Springfield Gardens South","50706.89","129"
"Cobble Hill","50268.14","130"
"Flushing","49506.54","131"
"Hammels/Arverne","46760.93","132"
"Kew Gardens","45493.90","133"
"Parkchester","45278.72","134"
"Queens Village","45152.56","135"
"Corona","44913.46","136"
"Gowanus","44394.12","137"
"Borough Park","43061.81","138"
"Rego Park","42419.07","139"
"Kensington","42353.98","140"
"University Heights/Morris Heights","42012.14","141"
"Woodhaven","41618.10","142"
"Newark Airport","40803.94","143"
"Springfield Gardens North","40611.94","144"
"Starrett City","40265.79","145"
"Morrisania/Melrose","40053.98","146"
"Sheepshead Bay","39739.45","147"
"East Tremont","39004.01","148"
"Midwood","38985.64","149"
"Marine Park/Mill Basin","37938.94","150"
"Van Cortlandt Village","36268.98","151"
"Spuyten Duyvil/Kingsbridge","35692.40","152"
"Mount Hope","35552.22","153"
"Elmhurst/Maspeth","35196.44","154"
"Highbridge","34753.83","155"
"Norwood","34610.67","156"
"Bedford Park","34507.06","157"
"Flushing Meadows-Corona Park","34361.89","158"
"Van Nest/Morris Park","34255.98","159"
"Hillcrest/Pomonok","31393.66","160"
"Jamaica Estates","30882.25","161"
"Brooklyn Navy Yard","30630.46","162"
"West Farms/Bronx River","30353.56","163"
"Woodlawn/Wakefield","30040.40","164"
"Bensonhurst West","29918.79","165"
"South Williamsburg","29452.11","166"
"Westchester Village/Unionport","29375.87","167"
"Sunset Park East","29067.58","168"
"Soundview/Bruckner","28627.68","169"
"Eastchester","28385.20","170"
"Claremont/Bathgate","28266.66","171"
"Hunts Point","27416.92","172"
"Homecrest","27240.47","173"
"Windsor Terrace","27037.29","174"
"Riverdale/North Riverdale/Fieldston","26663.98","175"
"Middle Village","26590.31","176"
"Schuylerville/Edgewater Park","25638.36","177"
"Brighton Beach","25553.19","178"
"Kingsbridge Heights","25461.09","179"
"Howard Beach","25426.89","180"
"Glendale","24856.47","181"
"Laurelton","24474.62","182"
"Pelham Parkway","24040.35","183"
"Rosedale","23801.92","184"
"Bronxdale","23793.81","185"
"Roosevelt Island","23706.93","186"
"Cambria Heights","22978.38","187"
"North Corona","22443.39","188"
"Crotona Park East","22130.38","189"
"Bensonhurst East","21953.77","190"
"Kew Gardens Hills","21563.18","191"
"Battery Park","20719.22","192"
"Longwood","20683.09","193"
"Madison","20105.27","194"
"Gravesend","19772.89","195"
"Bellerose","19737.73","196"
"Hollis","19127.02","197"
"Ozone Park","18785.92","198"
"Dyker Heights","17719.23","199"
"College Point","16976.57","200"
"Columbia Street","16952.69","201"
"Belmont","16756.25","202"
"Fordham South","16412.45","203"
"Allerton/Pelham Gardens","16016.00","204"
"Glen Oaks","15834.63","205"
"Whitestone","14310.11","206"
"Bayside","13987.00","207"
"Manhattan Beach","13049.36","208"
"Rockaway Park","12773.74","209"
"Murray Hill-Queens","12392.22","210"
"Bath Beach","12252.82","211"
"Queensboro Hill","12199.95","212"
"Pelham Bay","11832.76","213"
"Prospect Park","11569.66","214"
"Ocean Parkway South","11376.90","215"
"Fresh Meadows","9961.04","216"
"Oakland Gardens","9405.63","217"
"Douglaston","8219.65","218"
"Marble Hill","7865.44","219"
"Saint Michaels Cemetery/Woodside","7585.15","220"
"Randalls Island","7427.52","221"
"Bay Terrace/Fort Totten","7066.09","222"
"Inwood Hill Park","7038.64","223"
"East Flushing","6253.24","224"
"Auburndale","5364.59","225"
"Van Cortlandt Park","5316.75","226"
"Bronx Park","4367.14","227"
"Country Club","3641.49","228"
