"pickup_hour","trip_category","trip_counts_per_category","total_revenue_by_trip","revenue_per_trip"
"0","Airports","7426","479840.90","64.62"
"0","Other zones","93348","2655238.54","28.44"
"1","Airports","2763","172462.21","62.42"
"1","Other zones","64525","1795278.16","27.82"
"2","Airports","972","57957.66","59.63"
"2","Other zones","44971","1225745.18","27.26"
"3","Airports","942","62188.85","66.02"
"3","Other zones","32323","916162.15","28.34"
"4","Airports","2412","169098.20","70.11"
"4","Other zones","25828","837014.42","32.41"
"5","Airports","4659","317530.54","68.15"
"5","Other zones","26804","819146.68","30.56"
"6","Airports","6170","436850.53","70.80"
"6","Other zones","55225","1582180.18","28.65"
"7","Airports","7058","528927.51","74.94"
"7","Other zones","98536","2785192.07","28.27"
"8","Airports","7150","554047.41","77.49"
"8","Other zones","130597","3606456.52","27.62"
"9","Airports","8658","637551.09","73.64"
"9","Other zones","131768","3317233.59","25.17"
"10","Airports","9850","728048.89","73.91"
"10","Other zones","130676","3202702.84","24.51"
"11","Airports","9670","729321.95","75.42"
"11","Other zones","140898","3488257.74","24.76"
"12","Airports","11920","907110.30","76.10"
"12","Other zones","149574","3701207.17","24.74"
"13","Airports","14522","1127871.83","77.67"
"13","Other zones","155251","3858750.86","24.85"
"14","Airports","17444","1369136.13","78.49"
"14","Other zones","162750","4052172.81","24.90"
"15","Airports","18209","1440054.12","79.08"
"15","Other zones","172781","4335637.70","25.09"
"16","Airports","18265","1501226.11","82.19"
"16","Other zones","181843","4818722.67","26.50"
"17","Airports","15673","1252681.88","79.93"
"17","Other zones","218437","6004966.06","27.49"
"18","Airports","14018","1076313.27","76.78"
"18","Other zones","243983","6735696.15","27.61"
"19","Airports","15387","1159261.24","75.34"
"19","Other zones","210517","5612560.13","26.66"
"20","Airports","14919","1063840.22","71.31"
"20","Other zones","187392","4953051.18","26.43"
"21","Airports","13882","949143.62","68.37"
"21","Other zones","191905","5276384.95","27.49"
"22","Airports","12540","859902.20","68.57"
"22","Other zones","173256","4778753.19","27.58"
"23","Airports","12261","796588.32","64.97"
"23","Other zones","129908","3645555.82","28.06"
