day_daily,total_daily_revenue,running_total
2/1/2026,3603562.92,3603562.92
2/2/2026,3571537.54,7175100.46
2/3/2026,3923825.65,11098926.11
2/4/2026,4062210.96,15161137.07
2/5/2026,4277795.55,19438932.62
2/6/2026,4031566.55,23470499.17
2/7/2026,4354637.56,27825136.73
2/8/2026,3913632.45,31738769.18
2/9/2026,3532219.67,35270988.85
2/10/2026,3592531.3,38863520.15
2/11/2026,3932277.94,42795798.09
2/12/2026,4474814.41,47270612.5
2/13/2026,4450608.99,51721221.49
2/14/2026,3976781.94,55698003.43
2/15/2026,3373679.39,59071682.82
2/16/2026,2677109.95,61748792.77
2/17/2026,3272302.55,65021095.32
2/18/2026,3601192.79,68622288.11
2/19/2026,3661477.67,72283765.78
2/20/2026,3713571.12,75997336.9
2/21/2026,3869840.45,79867177.35
2/22/2026,2468563.24,82335740.59
2/23/2026,739924.02,83075664.61
2/24/2026,3019495,86095159.61
2/25/2026,3935270.54,90030430.15
2/26/2026,4142793.28,94173223.43
2/27/2026,4177975.69,98351199.12
2/28/2026,4029491.83,102380691
