"pickup_zone","hour","total_trips"
"Clinton East","21","5894"
"East Chelsea","18","7311"
"East Village","0","7959"
"JFK Airport","20","9557"
"LaGuardia Airport","14","6020"
"Lenox Hill East","17","5601"
"Lincoln Square East","22","8068"
"Midtown Center","18","12284"
"Midtown East","18","10040"
"Midtown North","18","7223"
"Midtown South","18","5165"
"Murray Hill","18","7211"
"Penn Station/Madison Sq West","18","6633"
"Times Sq/Theatre District","21","9702"
"Union Sq","18","7707"
"Upper East Side North","15","11522"
"Upper East Side South","17","11723"
"Upper West Side South","17","6752"
"West Chelsea/Hudson Yards","18","6818"
"West Village","22","6868"
