"day_daily","total_daily_revenue","running_total"
"2026-02-01","3603562.92","3603562.92"
"2026-02-02","3571537.54","7175100.46"
"2026-02-03","3923825.65","11098926.11"
"2026-02-04","4062210.96","15161137.07"
"2026-02-05","4277795.55","19438932.62"
"2026-02-06","4031566.55","23470499.17"
"2026-02-07","4354637.56","27825136.73"
"2026-02-08","3913632.45","31738769.18"
"2026-02-09","3532219.67","35270988.85"
"2026-02-10","3592531.30","38863520.15"
"2026-02-11","3932277.94","42795798.09"
"2026-02-12","4474814.41","47270612.50"
"2026-02-13","4450608.99","51721221.49"
"2026-02-14","3976781.94","55698003.43"
"2026-02-15","3373679.39","59071682.82"
"2026-02-16","2677109.95","61748792.77"
"2026-02-17","3272302.55","65021095.32"
"2026-02-18","3601192.79","68622288.11"
"2026-02-19","3661477.67","72283765.78"
"2026-02-20","3713571.12","75997336.90"
"2026-02-21","3869840.45","79867177.35"
"2026-02-22","2468563.24","82335740.59"
"2026-02-23","739924.02","83075664.61"
"2026-02-24","3019495.00","86095159.61"
"2026-02-25","3935270.54","90030430.15"
"2026-02-26","4142793.28","94173223.43"
"2026-02-27","4177975.69","98351199.12"
"2026-02-28","4029491.83","102380690.95"
